Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12
橘子在花瓶的前面,行李箱在甜甜圈的後面,貓咪在椅子的左邊,瓶子在碗的左邊,蛋糕在烤箱的上面,行李箱在植栽的下面,"小狗在桌子的左邊, 且蘋果在小狗的前面","貓咪在椅子的上面, 且腳踏車在椅子的後面","泰迪熊在床的上面, 且香蕉在泰迪熊的右邊","橘子在花瓶的前面, 且蘋果在花瓶的左邊","足球在桌子的下面, 且酒瓶在足球的前面","公車在汽車的左邊, 且腳踏車在汽車的上面"
橘子在花瓶的前面,行李箱在甜甜圈的後面,貓咪在椅子的左邊,瓶子在碗的左邊,蛋糕在烤箱的上面,行李箱在植栽的下面,"小狗在桌子的左邊, 且蘋果在小狗的前面","貓咪在椅子的上面, 且腳踏車在椅子的後面","泰迪熊在床的上面, 且香蕉在泰迪熊的右邊","橘子在花瓶的前面, 且蘋果在花瓶的左邊","足球在桌子的下面, 且酒瓶在足球的前面","公車在汽車的左邊, 且腳踏車在汽車的上面"
橘子在花瓶的前面,行李箱在甜甜圈的後面,貓咪在椅子的左邊,瓶子在碗的左邊,蛋糕在烤箱的上面,行李箱在植栽的下面,"小狗在桌子的左邊, 且蘋果在小狗的前面","貓咪在椅子的上面, 且腳踏車在椅子的後面","泰迪熊在床的左邊, 且香蕉在泰迪熊的右邊","橘子在花瓶的前面, 且蘋果在花瓶的右邊","足球在桌子的上面, 且酒瓶在足球的右邊","公車在汽車的右邊, 且腳踏車在汽車的左邊"
橘子在花瓶的前面,行李箱在甜甜圈的後面,貓咪在椅子的左邊,瓶子在碗的左邊,蛋糕在烤箱的上面,行李箱在植栽的下面,"小狗在桌子的左邊, 且蘋果在小狗的前面","貓咪在椅子的上面, 且腳踏車在椅子的後面","泰迪熊在床的上面, 且香蕉在泰迪熊的右邊","橘子在花瓶的前面, 且蘋果在花瓶的左邊","足球在桌子的下面, 且酒瓶在足球的前面","公車在汽車的左邊, 且腳踏車在汽車的上面"
橘子在花瓶的前面,行李箱在甜甜圈的後面,貓咪在椅子的左邊,瓶子在碗的左邊,蛋糕在烤箱的上面,行李箱在植栽的下面,"小狗在桌子的左邊, 且蘋果在小狗的前面","貓咪在椅子的上面, 且腳踏車在椅子的後面","泰迪熊在床的上面, 且香蕉在泰迪熊的右邊","橘子在花瓶的前面, 且蘋果在花瓶的左邊","足球在桌子的下面, 且酒瓶在足球的前面","公車在汽車的左邊, 且腳踏車在汽車的上面"
橘子在花瓶的前面,行李箱在甜甜圈的後面,貓咪在椅子的右邊,瓶子在碗的右邊,蛋糕在烤箱的上面,行李箱在植栽的下面,"小狗在桌子的左邊, 且蘋果在小狗的前面","貓咪在椅子的上面, 且腳踏車在椅子的後面","泰迪熊在床的上面, 且香蕉在泰迪熊的左邊","橘子在花瓶的前面, 且蘋果在花瓶的右邊","足球在桌子的下面, 且酒瓶在足球的前面","公車在汽車的右邊, 且腳踏車在汽車的左邊"
橘子在花瓶的前面,行李箱在甜甜圈的後面,貓咪在椅子的左邊,瓶子在碗的左邊,蛋糕在烤箱的上面,行李箱在植栽的下面,"小狗在桌子的後面, 且蘋果在小狗的右邊","貓咪在椅子的上面, 且腳踏車在椅子的後面","泰迪熊在床的上面, 且香蕉在泰迪熊的右邊","橘子在花瓶的左邊, 且蘋果在花瓶的右邊","足球在桌子的下面, 且酒瓶在足球的前面","公車在汽車的左邊, 且腳踏車在汽車的上面"
橘子在花瓶的前面,行李箱在甜甜圈的後面,貓咪在椅子的左邊,瓶子在碗的左邊,蛋糕在烤箱的上面,行李箱在植栽的下面,"小狗在桌子的左邊, 且蘋果在小狗的前面","貓咪在椅子的上面, 且腳踏車在椅子的後面","泰迪熊在床的上面, 且香蕉在泰迪熊的右邊","橘子在花瓶的前面, 且蘋果在花瓶的左邊","足球在桌子的下面, 且酒瓶在足球的前面","公車在汽車的左邊, 且腳踏車在汽車的上面"
橘子在花瓶的前面,行李箱在甜甜圈的後面,貓咪在椅子的左邊,瓶子在碗的左邊,蛋糕在烤箱的上面,行李箱在植栽的下面,"小狗在桌子的左邊, 且蘋果在小狗的前面","貓咪在椅子的上面, 且腳踏車在椅子的前面","泰迪熊在床的上面, 且香蕉在泰迪熊的右邊","橘子在花瓶的前面, 且蘋果在花瓶的右邊","足球在桌子的下面, 且酒瓶在足球的前面","公車在汽車的左邊, 且腳踏車在汽車的上面"
橘子在花瓶的前面,行李箱在甜甜圈的後面,貓咪在椅子的左邊,瓶子在碗的左邊,蛋糕在烤箱的上面,行李箱在植栽的下面,"小狗在桌子的左邊, 且蘋果在小狗的前面","貓咪在椅子的上面, 且腳踏車在椅子的後面","泰迪熊在床的下面, 且香蕉在泰迪熊的右邊","橘子在花瓶的後面, 且蘋果在花瓶的左邊","足球在桌子的下面, 且酒瓶在足球的前面","公車在汽車的左邊, 且腳踏車在汽車的上面"
橘子在花瓶的前面,行李箱在甜甜圈的後面,貓咪在椅子的左邊,瓶子在碗的左邊,蛋糕在烤箱的上面,行李箱在植栽的下面,"小狗在桌子的左邊, 且蘋果在小狗的前面","貓咪在椅子的上面, 且腳踏車在椅子的後面","泰迪熊在床的上面, 且香蕉在泰迪熊的右邊","橘子在花瓶的前面, 且蘋果在花瓶的左邊","足球在桌子的下面, 且酒瓶在足球的左邊","公車在汽車的左邊, 且腳踏車在汽車的上面"
橘子在花瓶的前面,行李箱在甜甜圈的後面,貓咪在椅子的左邊,瓶子在碗的左邊,蛋糕在烤箱的上面,行李箱在植栽的下面,"小狗在桌子的左邊, 且蘋果在小狗的前面","貓咪在椅子的上面, 且腳踏車在椅子的後面","泰迪熊在床的上面, 且香蕉在泰迪熊的右邊","橘子在花瓶的前面, 且蘋果在花瓶的左邊","足球在桌子的下面, 且酒瓶在足球的前面","公車在汽車的左邊, 且腳踏車在汽車的上面"
橘子在花瓶的前面,行李箱在甜甜圈的後面,貓咪在椅子的左邊,瓶子在碗的左邊,蛋糕在烤箱的上面,行李箱在植栽的下面,"小狗在桌子的左邊, 且蘋果在小狗的前面","貓咪在椅子的上面, 且腳踏車在椅子的後面","泰迪熊在床的上面, 且香蕉在泰迪熊的右邊","橘子在花瓶的前面, 且蘋果在花瓶的左邊","足球在桌子的下面, 且酒瓶在足球的前面","公車在汽車的左邊, 且腳踏車在汽車的上面"
橘子在花瓶的前面,行李箱在甜甜圈的後面,貓咪在椅子的左邊,瓶子在碗的左邊,蛋糕在烤箱的上面,行李箱在植栽的下面,"小狗在桌子的左邊, 且蘋果在小狗的前面","貓咪在椅子的上面, 且腳踏車在椅子的後面","泰迪熊在床的左邊, 且香蕉在泰迪熊的左邊","橘子在花瓶的前面, 且蘋果在花瓶的左邊","足球在桌子的下面, 且酒瓶在足球的前面","公車在汽車的左邊, 且腳踏車在汽車的上面"
橘子在花瓶的前面,行李箱在甜甜圈的後面,貓咪在椅子的左邊,瓶子在碗的左邊,蛋糕在烤箱的上面,行李箱在植栽的下面,"小狗在桌子的左邊, 且蘋果在小狗的前面","貓咪在椅子的上面, 且腳踏車在椅子的後面","泰迪熊在床的上面, 且香蕉在泰迪熊的右邊","橘子在花瓶的前面, 且蘋果在花瓶的左邊","足球在桌子的下面, 且酒瓶在足球的前面","公車在汽車的左邊, 且腳踏車在汽車的上面"
橘子在花瓶的前面,行李箱在甜甜圈的後面,貓咪在椅子的左邊,瓶子在碗的左邊,蛋糕在烤箱的上面,行李箱在植栽的下面,"小狗在桌子的左邊, 且蘋果在小狗的前面","貓咪在椅子的上面, 且腳踏車在椅子的後面","泰迪熊在床的上面, 且香蕉在泰迪熊的右邊","橘子在花瓶的前面, 且蘋果在花瓶的左邊","足球在桌子的下面, 且酒瓶在足球的前面","公車在汽車的左邊, 且腳踏車在汽車的上面"
橘子在花瓶的前面,行李箱在甜甜圈的後面,貓咪在椅子的左邊,瓶子在碗的左邊,蛋糕在烤箱的上面,行李箱在植栽的下面,"小狗在桌子的左邊, 且蘋果在小狗的前面","貓咪在椅子的上面, 且腳踏車在椅子的後面","泰迪熊在床的上面, 且香蕉在泰迪熊的右邊","橘子在花瓶的前面, 且蘋果在花瓶的左邊","足球在桌子的下面, 且酒瓶在足球的前面","公車在汽車的右邊, 且腳踏車在汽車的後面"
橘子在花瓶的前面,行李箱在甜甜圈的前面,貓咪在椅子的前面,瓶子在碗的前面,蛋糕在烤箱的上面,行李箱在植栽的上面,"小狗在桌子的左邊, 且蘋果在小狗的前面","貓咪在椅子的上面, 且腳踏車在椅子的後面","泰迪熊在床的上面, 且香蕉在泰迪熊的右邊","橘子在花瓶的前面, 且蘋果在花瓶的左邊","足球在桌子的下面, 且酒瓶在足球的前面","公車在汽車的左邊, 且腳踏車在汽車的上面"
橘子在花瓶的前面,行李箱在甜甜圈的後面,貓咪在椅子的右邊,瓶子在碗的右邊,蛋糕在烤箱的上面,行李箱在植栽的下面,"小狗在桌子的右邊, 且蘋果在小狗的上面","貓咪在椅子的上面, 且腳踏車在椅子的後面","泰迪熊在床的上面, 且香蕉在泰迪熊的左邊","橘子在花瓶的前面, 且蘋果在花瓶的左邊","足球在桌子的下面, 且酒瓶在足球的左邊","公車在汽車的右邊, 且腳踏車在汽車的後面"
橘子在花瓶的前面,行李箱在甜甜圈的後面,貓咪在椅子的左邊,瓶子在碗的左邊,蛋糕在烤箱的上面,行李箱在植栽的下面,"小狗在桌子的左邊, 且蘋果在小狗的前面","貓咪在椅子的上面, 且腳踏車在椅子的後面","泰迪熊在床的上面, 且香蕉在泰迪熊的右邊","橘子在花瓶的前面, 且蘋果在花瓶的左邊","足球在桌子的下面, 且酒瓶在足球的前面","公車在汽車的左邊, 且腳踏車在汽車的上面"
橘子在花瓶的前面,行李箱在甜甜圈的後面,貓咪在椅子的左邊,瓶子在碗的左邊,蛋糕在烤箱的上面,行李箱在植栽的下面,"小狗在桌子的左邊, 且蘋果在小狗的前面","貓咪在椅子的上面, 且腳踏車在椅子的後面","泰迪熊在床的左邊, 且香蕉在泰迪熊的右邊","橘子在花瓶的前面, 且蘋果在花瓶的左邊","足球在桌子的下面, 且酒瓶在足球的前面","公車在汽車的左邊, 且腳踏車在汽車的上面"
橘子在花瓶的前面,行李箱在甜甜圈的前面,貓咪在椅子的左邊,瓶子在碗的左邊,蛋糕在烤箱的上面,行李箱在植栽的下面,"小狗在桌子的左邊, 且蘋果在小狗的前面","貓咪在椅子的上面, 且腳踏車在椅子的後面","泰迪熊在床的上面, 且香蕉在泰迪熊的右邊","橘子在花瓶的前面, 且蘋果在花瓶的左邊","足球在桌子的下面, 且酒瓶在足球的前面","公車在汽車的左邊, 且腳踏車在汽車的上面"
橘子在花瓶的前面,行李箱在甜甜圈的後面,貓咪在椅子的左邊,瓶子在碗的左邊,蛋糕在烤箱的上面,行李箱在植栽的下面,"小狗在桌子的左邊, 且蘋果在小狗的前面","貓咪在椅子的上面, 且腳踏車在椅子的後面","泰迪熊在床的上面, 且香蕉在泰迪熊的右邊","橘子在花瓶的前面, 且蘋果在花瓶的左邊","足球在桌子的下面, 且酒瓶在足球的前面","公車在汽車的左邊, 且腳踏車在汽車的上面"
橘子在花瓶的前面,行李箱在甜甜圈的後面,貓咪在椅子的左邊,瓶子在碗的左邊,蛋糕在烤箱的上面,行李箱在植栽的下面,"小狗在桌子的左邊, 且蘋果在小狗的前面","貓咪在椅子的上面, 且腳踏車在椅子的後面","泰迪熊在床的上面, 且香蕉在泰迪熊的右邊","橘子在花瓶的前面, 且蘋果在花瓶的左邊","足球在桌子的下面, 且酒瓶在足球的前面","公車在汽車的左邊, 且腳踏車在汽車的上面"
橘子在花瓶的前面,行李箱在甜甜圈的後面,貓咪在椅子的左邊,瓶子在碗的左邊,蛋糕在烤箱的後面,行李箱在植栽的下面,"小狗在桌子的左邊, 且蘋果在小狗的前面","貓咪在椅子的上面, 且腳踏車在椅子的前面","泰迪熊在床的上面, 且香蕉在泰迪熊的右邊","橘子在花瓶的前面, 且蘋果在花瓶的左邊","足球在桌子的下面, 且酒瓶在足球的前面","公車在汽車的後面, 且腳踏車在汽車的前面"
橘子在花瓶的前面,行李箱在甜甜圈的後面,貓咪在椅子的左邊,瓶子在碗的左邊,蛋糕在烤箱的右邊,行李箱在植栽的下面,"小狗在桌子的左邊, 且蘋果在小狗的前面","貓咪在椅子的上面, 且腳踏車在椅子的後面","泰迪熊在床的上面, 且香蕉在泰迪熊的右邊","橘子在花瓶的前面, 且蘋果在花瓶的左邊","足球在桌子的下面, 且酒瓶在足球的前面","公車在汽車的左邊, 且腳踏車在汽車的上面"
橘子在花瓶的前面,行李箱在甜甜圈的後面,貓咪在椅子的左邊,瓶子在碗的左邊,蛋糕在烤箱的上面,行李箱在植栽的下面,"小狗在桌子的左邊, 且蘋果在小狗的前面","貓咪在椅子的上面, 且腳踏車在椅子的後面","泰迪熊在床的上面, 且香蕉在泰迪熊的右邊","橘子在花瓶的前面, 且蘋果在花瓶的左邊","足球在桌子的下面, 且酒瓶在足球的前面","公車在汽車的左邊, 且腳踏車在汽車的上面"
橘子在花瓶的左邊,行李箱在甜甜圈的前面,貓咪在椅子的上面,瓶子在碗的前面,蛋糕在烤箱的前面,行李箱在植栽的前面,"小狗在桌子的左邊, 且蘋果在小狗的前面","貓咪在椅子的上面, 且腳踏車在椅子的後面","泰迪熊在床的左邊, 且香蕉在泰迪熊的右邊","橘子在花瓶的前面, 且蘋果在花瓶的右邊","足球在桌子的上面, 且酒瓶在足球的右邊","公車在汽車的右邊, 且腳踏車在汽車的左邊"
橘子在花瓶的前面,行李箱在甜甜圈的後面,貓咪在椅子的左邊,瓶子在碗的左邊,蛋糕在烤箱的上面,行李箱在植栽的下面,"小狗在桌子的左邊, 且蘋果在小狗的前面","貓咪在椅子的上面, 且腳踏車在椅子的後面","泰迪熊在床的左邊, 且香蕉在泰迪熊的右邊","橘子在花瓶的前面, 且蘋果在花瓶的左邊","足球在桌子的下面, 且酒瓶在足球的前面","公車在汽車的左邊, 且腳踏車在汽車的上面"
橘子在花瓶的前面,行李箱在甜甜圈的前面,貓咪在椅子的左邊,瓶子在碗的左邊,蛋糕在烤箱的上面,行李箱在植栽的下面,"小狗在桌子的左邊, 且蘋果在小狗的後面","貓咪在椅子的上面, 且腳踏車在椅子的後面","泰迪熊在床的上面, 且香蕉在泰迪熊的右邊","橘子在花瓶的前面, 且蘋果在花瓶的左邊","足球在桌子的下面, 且酒瓶在足球的前面","公車在汽車的左邊, 且腳踏車在汽車的上面"
橘子在花瓶的前面,行李箱在甜甜圈的後面,貓咪在椅子的左邊,瓶子在碗的左邊,蛋糕在烤箱的上面,行李箱在植栽的下面,"小狗在桌子的左邊, 且蘋果在小狗的前面","貓咪在椅子的上面, 且腳踏車在椅子的後面","泰迪熊在床的上面, 且香蕉在泰迪熊的右邊","橘子在花瓶的前面, 且蘋果在花瓶的左邊","足球在桌子的下面, 且酒瓶在足球的前面","公車在汽車的左邊, 且腳踏車在汽車的上面"
橘子在花瓶的前面,行李箱在甜甜圈的後面,貓咪在椅子的左邊,瓶子在碗的左邊,蛋糕在烤箱的上面,行李箱在植栽的下面,"小狗在桌子的左邊, 且蘋果在小狗的前面","貓咪在椅子的上面, 且腳踏車在椅子的後面","泰迪熊在床的左邊, 且香蕉在泰迪熊的右邊","橘子在花瓶的前面, 且蘋果在花瓶的左邊","足球在桌子的下面, 且酒瓶在足球的前面","公車在汽車的左邊, 且腳踏車在汽車的上面"
橘子在花瓶的前面,行李箱在甜甜圈的後面,貓咪在椅子的左邊,瓶子在碗的左邊,蛋糕在烤箱的上面,行李箱在植栽的下面,"小狗在桌子的左邊, 且蘋果在小狗的前面","貓咪在椅子的上面, 且腳踏車在椅子的後面","泰迪熊在床的左邊, 且香蕉在泰迪熊的右邊","橘子在花瓶的前面, 且蘋果在花瓶的左邊","足球在桌子的下面, 且酒瓶在足球的前面","公車在汽車的左邊, 且腳踏車在汽車的上面"
橘子在花瓶的前面,行李箱在甜甜圈的後面,貓咪在椅子的左邊,瓶子在碗的左邊,蛋糕在烤箱的上面,行李箱在植栽的下面,"小狗在桌子的左邊, 且蘋果在小狗的前面","貓咪在椅子的上面, 且腳踏車在椅子的後面","泰迪熊在床的上面, 且香蕉在泰迪熊的右邊","橘子在花瓶的前面, 且蘋果在花瓶的左邊","足球在桌子的下面, 且酒瓶在足球的前面","公車在汽車的左邊, 且腳踏車在汽車的上面"
橘子在花瓶的前面,行李箱在甜甜圈的後面,貓咪在椅子的左邊,瓶子在碗的左邊,蛋糕在烤箱的上面,行李箱在植栽的下面,"小狗在桌子的左邊, 且蘋果在小狗的前面","貓咪在椅子的上面, 且腳踏車在椅子的後面","泰迪熊在床的上面, 且香蕉在泰迪熊的右邊","橘子在花瓶的前面, 且蘋果在花瓶的左邊","足球在桌子的下面, 且酒瓶在足球的前面","公車在汽車的左邊, 且腳踏車在汽車的上面"
橘子在花瓶的前面,行李箱在甜甜圈的後面,貓咪在椅子的左邊,瓶子在碗的左邊,蛋糕在烤箱的上面,行李箱在植栽的下面,"小狗在桌子的左邊, 且蘋果在小狗的前面","貓咪在椅子的上面, 且腳踏車在椅子的後面","泰迪熊在床的上面, 且香蕉在泰迪熊的右邊","橘子在花瓶的前面, 且蘋果在花瓶的左邊","足球在桌子的下面, 且酒瓶在足球的前面","公車在汽車的左邊, 且腳踏車在汽車的上面"
橘子在花瓶的前面,行李箱在甜甜圈的後面,貓咪在椅子的左邊,瓶子在碗的左邊,蛋糕在烤箱的上面,行李箱在植栽的下面,"小狗在桌子的左邊, 且蘋果在小狗的前面","貓咪在椅子的上面, 且腳踏車在椅子的後面","泰迪熊在床的上面, 且香蕉在泰迪熊的右邊","橘子在花瓶的前面, 且蘋果在花瓶的左邊","足球在桌子的下面, 且酒瓶在足球的前面","公車在汽車的左邊, 且腳踏車在汽車的上面"
橘子在花瓶的前面,行李箱在甜甜圈的後面,貓咪在椅子的左邊,瓶子在碗的左邊,蛋糕在烤箱的上面,行李箱在植栽的下面,"小狗在桌子的左邊, 且蘋果在小狗的前面","貓咪在椅子的上面, 且腳踏車在椅子的後面","泰迪熊在床的上面, 且香蕉在泰迪熊的右邊","橘子在花瓶的前面, 且蘋果在花瓶的左邊","足球在桌子的下面, 且酒瓶在足球的前面","公車在汽車的左邊, 且腳踏車在汽車的上面"
橘子在花瓶的前面,行李箱在甜甜圈的後面,貓咪在椅子的左邊,瓶子在碗的左邊,蛋糕在烤箱的上面,行李箱在植栽的下面,"小狗在桌子的左邊, 且蘋果在小狗的前面","貓咪在椅子的上面, 且腳踏車在椅子的後面","泰迪熊在床的上面, 且香蕉在泰迪熊的右邊","橘子在花瓶的前面, 且蘋果在花瓶的左邊","足球在桌子的下面, 且酒瓶在足球的前面","公車在汽車的左邊, 且腳踏車在汽車的上面"
